ProductID,ProductName,Price,CategoryID,Class,ModifyDate,Resistant,IsAllergic,VitalityDays
1,Flour - Whole Wheat,74.2988,3,Medium,2/16/2018 8:21,Durable,Unknown,0
2,Cookie Chocolate Chip With,91.2329,3,Medium,2/12/2017 11:39,Unknown,Unknown,0
3,Onions - Cippolini,9.1379,9,Medium,3/15/2018 8:11,Weak,False,111
4,"Sauce - Gravy, Au Jus, Mix",54.3055,9,Medium,7/16/2017 0:46,Durable,Unknown,0
5,Artichokes - Jerusalem,65.4771,2,Low,8/16/2017 14:13,Durable,True,27
6,Wine - Magnotta - Cab Sauv,79.7184,8,High,5/25/2017 15:08,Unknown,Unknown,0
7,Table Cloth - 53x69 Colour,31.837,9,Medium,2/24/2017 15:14,Durable,False,0
8,Halibut - Steaks,89.8573,5,Medium,3/24/2018 5:21,Unknown,True,108
9,Rabbit - Whole,84.4219,11,Medium,6/17/2017 12:12,Durable,Unknown,0
10,Scampi Tail,95.0957,4,Low,7/30/2017 10:11,Weak,True,105
11,Garbage Bags - Clear,6.2949,9,Low,1/5/2017 21:02,Durable,True,67
12,Ezy Change Mophandle,49.3356,4,Medium,11/1/2017 9:49,Durable,True,0
13,"Water, Tap",28.2232,11,Low,1/16/2017 19:49,Durable,False,69
14,Beef - Top Sirloin,3.3324,7,Medium,2/26/2017 11:40,Durable,True,0
15,"Spoon - Soup, Plastic",32.442,1,Low,3/3/2017 9:47,Weak,True,0
16,Kellogs Special K Cereal,54.7246,2,Low,1/23/2017 9:25,Durable,True,0
17,"Wine - White, Mosel Gold",43.9182,10,Medium,3/1/2017 14:03,Unknown,Unknown,0
18,"Lamb - Whole, Fresh",23.3966,10,Medium,12/19/2017 16:45,Unknown,False,0
19,Tea - Earl Grey,22.5614,3,Medium,6/14/2017 22:39,Weak,True,94
20,Chocolate - Feathers,85.9011,3,Low,7/21/2017 11:13,Durable,True,0
21,Kiwi,46.7252,7,High,5/9/2018 8:59,Durable,Unknown,0
22,Rice - Jasmine Sented,27.8955,6,Medium,5/9/2017 14:08,Weak,Unknown,48
23,Crab - Imitation Flakes,79.0184,11,Medium,8/19/2017 7:18,Durable,True,0
24,"Beer - Alexander Kieths, Pale Ale",89.037,3,Medium,5/23/2017 3:36,Durable,True,65
25,Soupcontfoam16oz 116con,80.7666,10,High,4/9/2017 15:30,Durable,True,0
26,Squid U5 - Thailand,33.7821,11,Medium,3/26/2018 19:31,Weak,False,10
27,Chocolate - Compound Coating,17.1724,1,Medium,10/29/2017 17:27,Unknown,Unknown,86
28,Sobe - Tropical Energy,12.3153,9,High,10/25/2017 4:23,Durable,True,0
29,Spinach - Baby,33.5883,7,Low,8/6/2017 17:21,Durable,True,50
30,"Cheese - Brie, Triple Creme",67.899,6,Low,3/21/2018 19:28,Weak,Unknown,72
31,Yeast Dry - Fermipan,73.9851,2,Medium,4/17/2017 23:33,Durable,False,0
32,Lettuce - Treviso,96.4127,3,High,1/9/2017 18:29,Durable,True,0
33,Beans - Wax,45.5551,10,Medium,2/1/2017 15:20,Weak,True,0
34,Mustard Prepared,43.3463,6,Medium,9/21/2017 16:05,Weak,Unknown,7
35,"Water - Mineral, Natural",15.7233,6,Low,10/1/2017 15:36,Durable,True,97
